fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
0,__benchmark__,benchmark_model,test,0.96875,0.0
1,__benchmark__,benchmark_model,test,0.990625,0.0
2,__benchmark__,benchmark_model,test,0.990625,0.0
3,__benchmark__,benchmark_model,test,0.984375,0.0
4,__benchmark__,benchmark_model,test,0.990625,0.0
0,__benchmark__,benchmark_model,val,0.97265625,0.0
1,__benchmark__,benchmark_model,val,0.984375,0.0
2,__benchmark__,benchmark_model,val,0.9921875,0.0
3,__benchmark__,benchmark_model,val,0.9921875,0.0
4,__benchmark__,benchmark_model,val,0.98046875,0.0
0,chance_10/change_10,alt_model,test,0.978125,0.0008066520467836257
1,chance_10/change_10,alt_model,test,0.99375,0.0008066520467836257
2,chance_10/change_10,alt_model,test,0.9875,0.0008066520467836257
3,chance_10/change_10,alt_model,test,0.978125,0.0008066520467836257
4,chance_10/change_10,alt_model,test,0.9875,0.0008066520467836257
0,chance_10/change_10,alt_model,val,0.9765625,0.0008066520467836257
1,chance_10/change_10,alt_model,val,0.98828125,0.0008066520467836257
2,chance_10/change_10,alt_model,val,0.98828125,0.0008066520467836257
3,chance_10/change_10,alt_model,val,0.9921875,0.0008066520467836257
4,chance_10/change_10,alt_model,val,0.984375,0.0008066520467836257
0,chance_10/change_10,benchmark_model,test,0.965625,0.0008066520467836257
1,chance_10/change_10,benchmark_model,test,0.984375,0.0008066520467836257
2,chance_10/change_10,benchmark_model,test,0.99375,0.0008066520467836257
3,chance_10/change_10,benchmark_model,test,0.98125,0.0008066520467836257
4,chance_10/change_10,benchmark_model,test,0.990625,0.0008066520467836257
0,chance_10/change_10,benchmark_model,val,0.96875,0.0008066520467836257
1,chance_10/change_10,benchmark_model,val,0.98046875,0.0008066520467836257
2,chance_10/change_10,benchmark_model,val,0.9921875,0.0008066520467836257
3,chance_10/change_10,benchmark_model,val,0.98828125,0.0008066520467836257
4,chance_10/change_10,benchmark_model,val,0.98046875,0.0008066520467836257
0,chance_10/change_15,alt_model,test,0.978125,0.005219846491228071
1,chance_10/change_15,alt_model,test,0.9875,0.005219846491228071
2,chance_10/change_15,alt_model,test,0.959375,0.005219846491228071
3,chance_10/change_15,alt_model,test,0.971875,0.005219846491228071
4,chance_10/change_15,alt_model,test,0.98125,0.005219846491228071
0,chance_10/change_15,alt_model,val,0.97265625,0.005219846491228071
1,chance_10/change_15,alt_model,val,0.98046875,0.005219846491228071
2,chance_10/change_15,alt_model,val,0.98828125,0.005219846491228071
