fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
0,__benchmark__,benchmark_model,test,0.885,0.0
1,__benchmark__,benchmark_model,test,0.845,0.0
2,__benchmark__,benchmark_model,test,0.88,0.0
3,__benchmark__,benchmark_model,test,0.815,0.0
4,__benchmark__,benchmark_model,test,0.86,0.0
0,__benchmark__,benchmark_model,val,0.85625,0.0
1,__benchmark__,benchmark_model,val,0.875,0.0
2,__benchmark__,benchmark_model,val,0.8125,0.0
3,__benchmark__,benchmark_model,val,0.83125,0.0
4,__benchmark__,benchmark_model,val,0.88125,0.0
0,chance_10/change_10,alt_model,test,0.88,2.271689497716895e-05
1,chance_10/change_10,alt_model,test,0.845,2.271689497716895e-05
2,chance_10/change_10,alt_model,test,0.875,2.271689497716895e-05
3,chance_10/change_10,alt_model,test,0.81,2.271689497716895e-05
4,chance_10/change_10,alt_model,test,0.865,2.271689497716895e-05
0,chance_10/change_10,alt_model,val,0.8625,2.271689497716895e-05
1,chance_10/change_10,alt_model,val,0.88125,2.271689497716895e-05
2,chance_10/change_10,alt_model,val,0.81875,2.271689497716895e-05
3,chance_10/change_10,alt_model,val,0.84375,2.271689497716895e-05
4,chance_10/change_10,alt_model,val,0.875,2.271689497716895e-05
0,chance_10/change_10,benchmark_model,test,0.885,2.271689497716895e-05
1,chance_10/change_10,benchmark_model,test,0.85,2.271689497716895e-05
2,chance_10/change_10,benchmark_model,test,0.875,2.271689497716895e-05
3,chance_10/change_10,benchmark_model,test,0.815,2.271689497716895e-05
4,chance_10/change_10,benchmark_model,test,0.86,2.271689497716895e-05
0,chance_10/change_10,benchmark_model,val,0.8625,2.271689497716895e-05
1,chance_10/change_10,benchmark_model,val,0.88125,2.271689497716895e-05
2,chance_10/change_10,benchmark_model,val,0.81875,2.271689497716895e-05
3,chance_10/change_10,benchmark_model,val,0.83125,2.271689497716895e-05
4,chance_10/change_10,benchmark_model,val,0.875,2.271689497716895e-05
0,chance_10/change_15,alt_model,test,0.84,0.0002877853881278539
1,chance_10/change_15,alt_model,test,0.825,0.0002877853881278539
2,chance_10/change_15,alt_model,test,0.84,0.0002877853881278539
3,chance_10/change_15,alt_model,test,0.805,0.0002877853881278539
4,chance_10/change_15,alt_model,test,0.84,0.0002877853881278539
0,chance_10/change_15,alt_model,val,0.8125,0.0002877853881278539
1,chance_10/change_15,alt_model,val,0.8375,0.0002877853881278539
2,chance_10/change_15,alt_model,val,0.78125,0.0002877853881278539
3,chance_10/change_15,alt_model,val,0.825,0.0002877853881278539
4,chance_10/change_15,alt_model,val,0.825,0.0002877853881278539
0,chance_10/change_15,benchmark_model,test,0.88,0.0002877853881278539
1,chance_10/change_15,benchmark_model,test,0.85,0.0002877853881278539
2,chance_10/change_15,benchmark_model,test,0.87,0.0002877853881278539
3,chance_10/change_15,benchmark_model,test,0.79,0.0002877853881278539
4,chance_10/change_15,benchmark_model,test,0.845,0.0002877853881278539
0,chance_10/change_15,benchmark_model,val,0.83125,0.0002877853881278539
1,chance_10/change_15,benchmark_model,val,0.86875,0.0002877853881278539
2,chance_10/change_15,benchmark_model,val,0.80625,0.0002877853881278539
3,chance_10/change_15,benchmark_model,val,0.83125,0.0002877853881278539
4,chance_10/change_15,benchmark_model,val,0.86875,0.0002877853881278539
0,chance_10/change_20,alt_model,test,0.84,0.00024531963470319633
1,chance_10/change_20,alt_model,test,0.79,0.00024531963470319633
2,chance_10/change_20,alt_model,test,0.795,0.00024531963470319633
3,chance_10/change_20,alt_model,test,0.76,0.00024531963470319633
4,chance_10/change_20,alt_model,test,0.86,0.00024531963470319633
0,chance_10/change_20,alt_model,val,0.825,0.00024531963470319633
1,chance_10/change_20,alt_model,val,0.8375,0.00024531963470319633
2,chance_10/change_20,alt_model,val,0.7875,0.00024531963470319633
3,chance_10/change_20,alt_model,val,0.825,0.00024531963470319633
4,chance_10/change_20,alt_model,val,0.7625,0.00024531963470319633
0,chance_10/change_20,benchmark_model,test,0.86,0.00024531963470319633
1,chance_10/change_20,benchmark_model,test,0.81,0.00024531963470319633
2,chance_10/change_20,benchmark_model,test,0.825,0.00024531963470319633
3,chance_10/change_20,benchmark_model,test,0.775,0.00024531963470319633
4,chance_10/change_20,benchmark_model,test,0.85,0.00024531963470319633
0,chance_10/change_20,benchmark_model,val,0.83125,0.00024531963470319633
1,chance_10/change_20,benchmark_model,val,0.85,0.00024531963470319633
2,chance_10/change_20,benchmark_model,val,0.8,0.00024531963470319633
3,chance_10/change_20,benchmark_model,val,0.8,0.00024531963470319633
4,chance_10/change_20,benchmark_model,val,0.8625,0.00024531963470319633
0,chance_10/change_25,alt_model,test,0.86,0.0013665525114155252
